Unnamed: 0,Position,Rating,Pace,Acceleration,Sprint Speed,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,FK. Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Dribbling.1,Composure,Defending,Interceptions,Heading Accuracy,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Name,Club,Nation,League,Skills,Weak Foot,Intl. Rep,Foot,Height,Weight,Revision,Def. WR,Att. WR,Origin,Version,PS4 Games Played,Days in game,Acrobat,Aerial Threat,Clinical Finisher,Complete Defender,Complete Forward,Crosser,Distance Shooter,Dribbler,FK Specialist,Midfielder,Play Maker,Poacher,Speedster,Strength Spec,Tackler,Tactician,Avoids Using Weaker Foot,Backs Into Player,Chip Shot,Corner Specialist,Crosser - Early Crosser,Dives Into Tackles,Dribbler - Speed Dribbler,Flair,GK One On One,Giant Throw In,Injury Prone,Leadership,Long Throw,Long Thrower,One Club Player,Passing - Long Passer,Playmaker,Power Header,Puncher,Pushes Up For Corners,Selfish,Shooting - Chip Shot,Shooting - Finesse Shot,Shooting - Long Shot Taker,Sweeper Keeper,Takes Finesse Style Free Kicks,Takes Powerful Driven Free Kicks,Target Forward,Technical Dribbler,Tries To Beat Defensive Line,Ultimate Professional,games_day
24,LM,91,88,88,88,82,88,86,77,78,78,82,88,91,89,84,88,85,87,91,81,79,84,92,91,86,40,47,53,34,38,36,64,76,84,60,47,Robert Pirès,Icons,France,Icons,4,4,4,Right,187,74,Icon,Med,Med,N\A,icon gold,430203,357,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1205.05042
59,LM,90,95,96,94,82,89,83,82,84,77,69,81,79,89,67,82,76,85,90,88,88,92,87,90,84,47,54,52,44,46,37,67,62,92,58,60,Marc Overmars,Icons,Holland,Icons,3,5,4,Left,173,72,Icon,Med,High,N\A,icon gold,1889674,357,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5293.204482
67,LM,89,86,88,84,84,86,85,84,82,83,77,80,83,80,78,81,73,78,90,90,87,87,87,90,86,40,42,70,30,39,35,78,85,85,72,80,Alexis Sánchez,Arsenal,Chile,Premier League,4,3,4,Right,169,62,Normal,High,High,N\A, gold,14585318,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40855.232489999995
80,RM,88,86,87,86,86,85,85,87,88,86,80,81,83,80,81,84,71,87,92,89,91,87,89,92,86,32,39,51,29,26,26,63,61,68,67,47,Arjen Robben,FC Bayern München,Holland,Bundesliga,4,2,4,Left,180,80,Normal,Low,High,N\A, gold,11739475,357,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,32883.683469999996
98,LM,88,88,88,88,80,84,84,75,76,76,81,86,89,87,82,86,82,87,87,80,79,82,89,87,85,40,46,51,34,38,36,62,76,77,60,46,Robert Pirès,Icons,France,Icons,4,4,4,Right,187,74,Icon,Med,Med,N\A,icon gold,534799,357,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1498.036415
125,RM,87,83,87,80,79,88,73,81,85,80,86,84,88,80,89,83,80,88,92,92,87,85,90,92,88,41,48,62,33,41,33,58,54,70,60,41,Jay-Jay Okocha,Icons,Nigeria,Icons,5,4,3,Right,173,70,Icon,Low,Med,N\A,icon gold,426511,357,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1194.708683
133,LM,86,82,85,79,76,81,76,76,75,80,78,83,86,81,81,86,75,83,90,88,91,86,90,90,86,25,36,41,13,25,26,58,34,64,60,52,Franck Ribéry,FC Bayern München,France,Bundesliga,5,4,4,Right,170,72,Normal,Med,High,N\A, gold,4635063,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12983.36975
144,LM,86,88,86,90,87,86,86,87,88,88,87,84,86,80,84,86,80,90,86,86,81,87,85,86,83,39,50,49,30,36,46,64,72,68,67,49,Marco Reus,Borussia Dortmund,Germany,Bundesliga,4,4,4,Right,180,75,Normal,Med,Med,N\A, gold,17331251,357,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,48546.92157
176,RM,85,86,88,84,79,82,77,87,75,81,72,80,85,79,64,84,72,83,87,89,85,82,87,87,79,54,64,53,49,53,55,70,71,86,63,69,Henrikh Mkhitaryan,Manchester United,Armenia,Premier League,4,5,3,Right,177,75,Normal,High,High,N\A, gold,15253604,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42727.182069999995
181,LM,85,88,87,89,79,82,79,84,75,68,74,78,74,80,78,79,74,81,91,91,71,83,86,91,75,29,18,53,19,39,26,63,68,73,59,61,Yannick Carrasco,Atlético Madrid,Belgium,LaLiga Santander,4,4,3,Right,180,67,Normal,Med,High,N\A, gold,10652855,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29839.929969999997
